MARQUE_MODELE;ANNEE;CAF_XOF;COTE_EUR_IMPLICITE;PLANCHER;CATEGORIE_TAUX;TAUX_MARGINAL;DROITS_IM4_XOF_depuis_fev2025;NB_DECLARATIONS;FIABILITE_CAF_%
TRAILER LOOSE AUTRES REMORQUES ET SEMI R;2005;2500003;;OUI;C_CAMION_BUS;0.23338;682051;3;33
TRAILER LOOSE AUTRES REMORQUES ET SEMI R;2008;3000000;4573;;C_CAMION_BUS;0.23338;798740;3;33
VOLKSWAGEN GOLF;2000;1500001;;OUI;B_TOURISME_STANDARD;0.31598;572570;3;67
VOLKSWAGEN GOLF;2005;1500001;;OUI;B_TOURISME_STANDARD;0.31598;572570;3;67
VOLVO TRUCK;1990;2500001;;OUI;C_CAMION_BUS;0.23338;682050;3;100
VOLVO TRUCK;2000;2500001;;OUI;D_TRACTEUR_ROUTIER;0.19208;578800;3;67
VW PASSAT;1994;1500003;;OUI;B_TOURISME_STANDARD;0.31598;572571;3;100
VW PASSAT;1995;1500001;;OUI;B_TOURISME_STANDARD;0.31598;572570;3;67
03 JETOUR T2 PTR A T 05 DOORS AUTRES;2025;17023200;25951;;AUTRE/EXONERE;;;2;50
1 WHEEL LOADER ANNEE CHARGEUSES ET CHARG;2023;27903624;42538;;AUTRE/EXONERE;;;2;50
ACURA MDX;2014;5322913;8114;;A_TOURISME_13CV_PLUS;0.40208;2238837;2;50
AUDI A4;2010;3499344;5334;;B_TOURISME_STANDARD;0.31598;1204323;2;50
BAW PICKUP NEUF AUTRES;2024;6900393;10519;;AUTRE/EXONERE;;;2;100
BMW 118I;2006;1500003;;OUI;B_TOURISME_STANDARD;0.31598;572571;2;50
BMW 3 SERIES;2011;3197602;4874;;A_TOURISME_13CV_PLUS;0.40208;1384292;2;50
BMW 316;2002;1500001;;OUI;B_TOURISME_STANDARD;0.31598;572570;2;100
BMW 316;2003;1500001;;OUI;B_TOURISME_STANDARD;0.31598;572570;2;100
BMW 318;1998;1500001;;OUI;B_TOURISME_STANDARD;0.31598;572570;2;50
BMW 318;2005;1500001;;OUI;B_TOURISME_STANDARD;0.31598;572570;2;100
BMW 320;2006;1795588;2737;;B_TOURISME_STANDARD;0.31598;665970;2;50
BMW X1 GRAVE ACCIDENTE;2013;1500003;;OUI;B_TOURISME_STANDARD;0.31598;572571;2;100
BMW X3 AUTRES;2024;30907310;47117;;AUTRE/EXONERE;;;2;50
BMW X5;2008;4465346;6807;;A_TOURISME_13CV_PLUS;0.40208;1894026;2;50
CAMION CITERNE NEUFS AUTRES;2024;61890380;94351;;AUTRE/EXONERE;;;2;50
CAMION RENAULT 28 07;1993;2500001;;OUI;C_CAMION_BUS;0.23338;682050;2;100
CAMION RENAULT G290 01 01;1989;2500001;;OUI;D_TRACTEUR_ROUTIER;0.19208;578800;2;100
CHEVROLET CRUZE;2011;1844785;2812;;B_TOURISME_STANDARD;0.31598;681515;2;100
CHEVROLET CRUZE;2013;2507308;3822;;B_TOURISME_STANDARD;0.31598;890859;2;50
CHEVROLET EQUINOX;2011;2344854;3574;;A_TOURISME_13CV_PLUS;0.40208;1041419;2;50
CITROEN BERLINGO;2002;1500003;;OUI;C_CAMION_BUS;0.23338;448671;2;50
CITROEN C25;1982;1500003;;OUI;C_CAMION_BUS;0.23338;448671;2;50
CITROEN C25;1985;1500001;;OUI;C_CAMION_BUS;0.23338;448670;2;100
CITROEN C25;1987;1500003;;OUI;C_CAMION_BUS;0.23338;448671;2;50
CITROEN C25;1994;1500003;;OUI;C_CAMION_BUS;0.23338;448671;2;50
CITROEN C25 USAGES;1991;1500001;;OUI;C_CAMION_BUS;0.23338;448670;2;100
CITROEN C5;2010;2074371;3162;;B_TOURISME_STANDARD;0.31598;754060;2;50
DAF TRUCK;2005;2700000;4115;;D_TRACTEUR_ROUTIER;0.19208;617216;2;50
DODGE CALIBER;2009;1500001;;OUI;B_TOURISME_STANDARD;0.31598;572570;2;50
DUMP TRUCK AUTRES;2024;29496424;44966;;AUTRE/EXONERE;;;2;50
FORD EDGE;2013;4666955;7114;;A_TOURISME_13CV_PLUS;0.40208;1975089;2;50
FORD EXPLORER SPORT TRAC;2007;1757769;2679;;C_CAMION_BUS;0.23338;508828;2;50
FORD EXPLORER SPORT TRAC USAGES;2007;1757770;2679;;C_CAMION_BUS;0.23338;508828;2;100
FORD FOCUS;2005;1500001;;OUI;B_TOURISME_STANDARD;0.31598;572570;2;100
FORD GALAXY;1997;1500001;;OUI;B_TOURISME_STANDARD;0.31598;572570;2;100
FORD GALAXY;1998;1500000;;OUI;A_TOURISME_13CV_PLUS;0.40208;701720;2;50
FORD GALAXY;2003;1500000;;OUI;B_TOURISME_STANDARD;0.31598;572570;2;50
HONDA ACCORD;1999;1500001;;OUI;B_TOURISME_STANDARD;0.31598;572570;2;100
HONDA ACCORD;2003;1500001;;OUI;B_TOURISME_STANDARD;0.31598;572570;2;100
HONDA ACCORD;2004;1500001;;OUI;B_TOURISME_STANDARD;0.31598;572570;2;50
HONDA ACCORD;2008;2098212;3198;;A_TOURISME_13CV_PLUS;0.40208;942249;2;50
HONDA ACCORD;2014;4699753;7164;;A_TOURISME_13CV_PLUS;0.40208;1988277;2;50
HONDA CIVIC;2001;1500001;;OUI;B_TOURISME_STANDARD;0.31598;572570;2;100
HONDA CIVIC;2003;1500001;;OUI;B_TOURISME_STANDARD;0.31598;572570;2;100
HONDA CIVIC;2006;1500000;;OUI;B_TOURISME_STANDARD;0.31598;572570;2;100
HONDA CR V;2002;1500001;;OUI;B_TOURISME_STANDARD;0.31598;572570;2;100
HONDA CR V;2004;1500001;;OUI;B_TOURISME_STANDARD;0.31598;572570;2;100
HONDA CR V;2006;1500000;;OUI;A_TOURISME_13CV_PLUS;0.40208;701720;2;50
HONDA CR V;2016;6175661;9414;;A_TOURISME_13CV_PLUS;0.40208;2581710;2;50
HONDA CR V 07;2007;2932594;4470;;A_TOURISME_13CV_PLUS;0.40208;1277737;2;100
HONDA CRV;2008;2932595;4470;;A_TOURISME_13CV_PLUS;0.40208;1277738;2;50
HONDA CRV;2012;4748948;7239;;A_TOURISME_13CV_PLUS;0.40208;2008057;2;50
HONDA FR V;2004;1500001;;OUI;B_TOURISME_STANDARD;0.31598;572570;2;100
HONDA HR V;2003;1500001;;OUI;AUTRE/EXONERE;;;2;100
HONDA HR V;2005;1572563;2397;;B_TOURISME_STANDARD;0.31598;595498;2;50
HONDA JAZZ;2009;1500001;;OUI;AUTRE/EXONERE;;;2;100
HONDA PILOT;2009;3515743;5359;;A_TOURISME_13CV_PLUS;0.40208;1512210;2;50
HONDA RIDGELINE;2007;2003757;3054;;C_CAMION_BUS;0.23338;566237;2;50
HONDA RIDGELINE;2014;4945736;7539;;C_CAMION_BUS;0.23338;1252836;2;50
HONDA RIDGELINE MAROON;2007;1866003;2844;;C_CAMION_BUS;0.23338;534088;2;50
HONDA STREAM;2002;1500001;;OUI;B_TOURISME_STANDARD;0.31598;572570;2;100
HYDRAULIC EXCAVATOR ANNEE AUTRES;2020;2488411;3793;;AUTRE/EXONERE;;;2;100
HYUNDAI COUPE;2002;1500003;;OUI;B_TOURISME_STANDARD;0.31598;572571;2;100
HYUNDAI ELANTRA;2011;2023434;3084;;B_TOURISME_STANDARD;0.31598;737965;2;50
HYUNDAI ELANTRA;2014;3945396;6014;;B_TOURISME_STANDARD;0.31598;1345266;2;50
HYUNDAI ELANTRA GT;2013;2843384;4334;;B_TOURISME_STANDARD;0.31598;997052;2;50
HYUNDAI GETZ;2006;1500003;;OUI;B_TOURISME_STANDARD;0.31598;572571;2;100
HYUNDAI I30;2008;1500000;;OUI;B_TOURISME_STANDARD;0.31598;572570;2;50
HYUNDAI I30;2009;1500000;;OUI;B_TOURISME_STANDARD;0.31598;572570;2;50
HYUNDAI IX35;2010;3169826;4832;;B_TOURISME_STANDARD;0.31598;1100202;2;50
HYUNDAI SANTA FE;2004;1500001;;OUI;B_TOURISME_STANDARD;0.31598;572570;2;100
